Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
1438740,"1438740.3","Klebsiella pneumoniae CHS 34","meropenem","Resistant",,,,,"Broth dilution",,,,,,,,,"Laboratory Method",,
573,"573.67226","Klebsiella pneumoniae ERR7221209","meropenem","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",2016,,,,"Laboratory Method",,"36916881"
573,"573.14212","Klebsiella pneumoniae KPN526ec","meropenem","Resistant","4",,"4","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.7032","Klebsiella pneumoniae strain AR_0041","meropenem","Resistant",">8",">","8","mg/L","Broth dilution",,,,"CLSI",,,,,"Laboratory Method",,
573,"573.46840","Klebsiella pneumoniae KP-14PI","meropenem","Resistant","=64","=","64","mg/L","Broth dilution",,,,"EUCAST",,,,,"Laboratory Method",,
1438729,"1438729.3","Klebsiella pneumoniae CHS 23","meropenem","Resistant",,,,,"Broth dilution",,,,,,,,,"Laboratory Method",,
573,"573.14321","Klebsiella pneumoniae KPN691ec","meropenem","Resistant",">8",">","8","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.14222","Klebsiella pneumoniae KPN539ec","meropenem","Resistant",">8",">","8","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.5781","Klebsiella pneumoniae strain 10_GR_13","meropenem","Resistant",">32",">","32","mg/L","Broth dilution",,,,"CLSI",2016,,,,"Laboratory Method",,"29431605"
1438765,"1438765.3","Klebsiella pneumoniae CHS 59","meropenem","Resistant",,,,,"Broth dilution",,,,,,,,,"Laboratory Method",,
573,"573.14005","Klebsiella pneumoniae KPN267ec","meropenem","Resistant",">8",">","8","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.46833","Klebsiella pneumoniae KP-11PI","meropenem","Resistant","=64","=","64","mg/L","Broth dilution",,,,"EUCAST",,,,,"Laboratory Method",,
573,"573.14266","Klebsiella pneumoniae KPN594ec","meropenem","Resistant",">8",">","8","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.46876","Klebsiella pneumoniae KP-93LU","meropenem","Resistant","=64","=","64","mg/L","Broth dilution",,,,"EUCAST",,,,,"Laboratory Method",,
573,"573.67297","Klebsiella pneumoniae ERR7221298","meropenem","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",2016,,,,"Laboratory Method",,"36916881"
573,"573.14545","Klebsiella pneumoniae KPN989ec","meropenem","Resistant","4",,"4","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.14526","Klebsiella pneumoniae KPN960ec","meropenem","Resistant",">8",">","8","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.13973","Klebsiella pneumoniae KPN227ec","meropenem","Resistant",">8",">","8","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.14388","Klebsiella pneumoniae KPN773ec","meropenem","Resistant",">8",">","8","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.24407","Klebsiella pneumoniae strain MUGSI_38","meropenem","Resistant","8",">","8","mg/L","Broth dilution",,,,"CLSI",,,,,"Laboratory Method",,
573,"573.13140","Klebsiella pneumoniae KPN1140ec","meropenem","Resistant",">8",">","8","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.67324","Klebsiella pneumoniae ERR7221335","meropenem","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",2016,,,,"Laboratory Method",,"36916881"
573,"573.29868","Klebsiella pneumoniae strain Kpngiani7132567","meropenem","Resistant","128",,"128","mg/L","Broth dilution",,,"Merlin Diagnostika","EUCAST",2020,,,,"Laboratory Method",,"33188415"
573,"573.13145","Klebsiella pneumoniae KPN1147ec","meropenem","Resistant",">8",">","8","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.13389","Klebsiella pneumoniae KPN1448ec","meropenem","Resistant",">8",">","8","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.67256","Klebsiella pneumoniae ERR7221246","meropenem","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",2016,,,,"Laboratory Method",,"36916881"
573,"573.24376","Klebsiella pneumoniae strain MUGSI_2","meropenem","Resistant","8",">","8","mg/L","Broth dilution",,,,"CLSI",,,,,"Laboratory Method",,
573,"573.14500","Klebsiella pneumoniae KPN928ec","meropenem","Resistant",">8",">","8","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.29975","Klebsiella pneumoniae strain Kpngiani7132528","meropenem","Resistant","128",,"128","mg/L","Broth dilution",,,"Merlin Diagnostika","EUCAST",2020,,,,"Laboratory Method",,"33188415"
573,"573.24387","Klebsiella pneumoniae strain MUGSI_28","meropenem","Resistant","8",">","8","mg/L","Broth dilution",,,,"CLSI",,,,,"Laboratory Method",,
