Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
72407,"72407.543","Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864778","meropenem","Susceptible","<=0.25","<=","0.25","mg/L","Broth dilution",,"VITEK 2","BioMerieux","CLSI",2010,,,,"Laboratory Method",,"30787414"
573,"573.46110","Klebsiella pneumoniae KSB2_1D","meropenem","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux","CLSI",,,,,"Laboratory Method",,"29340588"
573,"573.5710","Klebsiella pneumoniae strain W2-9-ERG2","meropenem","Susceptible","<=0.25","<=","0.25","mg/L","Broth dilution",,"VITEK 2","BioMerieux","EUCAST",,,,,"Laboratory Method",,"28118859"
573,"573.12947","Klebsiella pneumoniae 3362","meropenem","Susceptible","<=0.125","<=","0.125","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28776045;28512093"
573,"573.13627","Klebsiella pneumoniae KPN1725ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.13972","Klebsiella pneumoniae KPN226ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.14272","Klebsiella pneumoniae KPN601ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.13124","Klebsiella pneumoniae KPN1122ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.26120","Klebsiella pneumoniae strain 5012STDY7312740","meropenem","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux",,,,,,"Laboratory Method",,"31038449"
573,"573.13241","Klebsiella pneumoniae KPN1262ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.14006","Klebsiella pneumoniae KPN268ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.26233","Klebsiella pneumoniae strain 5012STDY7626498","meropenem","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux",,,,,,"Laboratory Method",,"31038449"
573,"573.46064","Klebsiella pneumoniae INF282","meropenem","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux","CLSI",,,,,"Laboratory Method",,"29340588"
573,"573.13383","Klebsiella pneumoniae KPN1441ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.14488","Klebsiella pneumoniae KPN914ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.14036","Klebsiella pneumoniae KPN301ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.13824","Klebsiella pneumoniae KPN1991ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.14350","Klebsiella pneumoniae KPN724ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.14532","Klebsiella pneumoniae KPN968ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.12942","Klebsiella pneumoniae 3353","meropenem","Susceptible","<=0.125","<=","0.125","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28776045;28512093"
573,"573.13276","Klebsiella pneumoniae KPN1312ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.13739","Klebsiella pneumoniae KPN1876ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.14289","Klebsiella pneumoniae KPN622ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.26211","Klebsiella pneumoniae strain 5012STDY7312677","meropenem","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux",,,,,,"Laboratory Method",,"31038449"
573,"573.14195","Klebsiella pneumoniae KPN504ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.18542","Klebsiella pneumoniae strain AR_0087","meropenem","Susceptible","<=0.12","<=","0.12","mg/L","Broth dilution",,,,"CLSI",,,,,"Laboratory Method",,
573,"573.13123","Klebsiella pneumoniae KPN1121ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.13569","Klebsiella pneumoniae KPN1663ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.14196","Klebsiella pneumoniae KPN507ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.12918","Klebsiella pneumoniae 3340","meropenem","Susceptible","<=0.125","<=","0.125","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28776045;28512093"
573,"573.14172","Klebsiella pneumoniae KPN461ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.12971","Klebsiella pneumoniae 3303","meropenem","Susceptible","<=0.125","<=","0.125","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28776045;28512093"
573,"573.13371","Klebsiella pneumoniae KPN142ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.26215","Klebsiella pneumoniae strain 5012STDY7312678","meropenem","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux",,,,,,"Laboratory Method",,"31038449"
72407,"72407.518","Klebsiella pneumoniae subsp. pneumoniae strain 3189STDY5864757","meropenem","Susceptible","<=0.25","<=","0.25","mg/L","Broth dilution",,"VITEK 2","BioMerieux","CLSI",2010,,,,"Laboratory Method",,"30787414"
573,"573.14408","Klebsiella pneumoniae KPN802ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.14117","Klebsiella pneumoniae KPN395ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.13027","Klebsiella pneumoniae 26","meropenem","Susceptible","<=0.125","<=","0.125","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28776045;28512093"
573,"573.14365","Klebsiella pneumoniae KPN744ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.13597","Klebsiella pneumoniae KPN1694ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.33396","Klebsiella pneumoniae strain PMK16","meropenem","Susceptible",,,,,"Broth dilution",,,"BD","EUCAST",,,,,"Laboratory Method",,"25267672"
573,"573.13116","Klebsiella pneumoniae KPN1113ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.15527","Klebsiella pneumoniae strain INF208","meropenem","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux","CLSI",,,,,"Laboratory Method",,"28369261"
573,"573.26106","Klebsiella pneumoniae strain 5012STDY7312729","meropenem","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux",,,,,,"Laboratory Method",,"31038449"
573,"573.13413","Klebsiella pneumoniae KPN1475ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.14484","Klebsiella pneumoniae KPN911ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.14327","Klebsiella pneumoniae KPN698ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.67193","Klebsiella pneumoniae ERR7221166","meropenem","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",2016,,,,"Laboratory Method",,"36916881"
573,"573.14054","Klebsiella pneumoniae KPN320ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.13762","Klebsiella pneumoniae KPN1903ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.26263","Klebsiella pneumoniae strain 5012STDY7626383","meropenem","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux",,,,,,"Laboratory Method",,"31038449"
573,"573.13254","Klebsiella pneumoniae KPN1275ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.14499","Klebsiella pneumoniae KPN927ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.13271","Klebsiella pneumoniae KPN1305ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.14518","Klebsiella pneumoniae KPN952ec","meropenem","Susceptible","<=1","<=","1","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.26115","Klebsiella pneumoniae strain 5012STDY7312733","meropenem","Susceptible",,,,,"Broth dilution",,"VITEK 2","BioMerieux",,,,,,"Laboratory Method",,"31038449"
